TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-03-09 12:29:03,1773059343491,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/faq,GET,_rsc=8rrgv,200,9t52h-1773059342860-dc00758b738a,vercel-screenshot/1.0,info,production,main,MISS,function,/[locale]/faq,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,,,,,"⚠️ Missing recommended environment variables: PAYPAL_WEBHOOK_ID, PAYPAL_CLIENT_ID, PAYPAL_CLIENT_SECRET. Some features (payments, emails, webhooks) may not work correctly.",prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,,,
2026-03-09 12:29:02,1773059342860,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/faq,GET,_rsc=8rrgv,200,9t52h-1773059342860-dc00758b738a,vercel-screenshot/1.0,,production,main,MISS,function,/[locale]/faq.rsc,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,475,iad1,263,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9950KB5EBGTB7WFP6N8Y0Z,P0Y9hY2hn7xz,1
2026-03-09 12:29:02,1773059342860,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/faq,GET,_rsc=8rrgv,200,9t52h-1773059342860-dc00758b738a,vercel-screenshot/1.0,,production,main,MISS,middleware,src/middleware,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,522,sfo1,259,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9950GHAV4XFJ1D2AC8F1N6,vyKYxbi5Hsij,1
2026-03-09 12:29:02,1773059342860,"like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/api/trpc/public.toursByDestination,public.featuredTours,public.settings",GET,batch=1&input=%7B%220%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%2C%221%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%2C%222%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%7D,200,9bgr7-1773059342860-644b8c65145d,vercel-screenshot/1.0,,production,main,MISS,function,/api/trpc/[trpc],like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,33,iad1,343,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9950HGKGD9MM5KTR4FM2TB,lXVU2U21OFEE,1
2026-03-09 12:29:03,1773059343382,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/tours,GET,_rsc=8rrgv&nxtPlocale=en,200,7krnp-1773059342860-74bfa1a07d93,vercel-screenshot/1.0,info,production,main,MISS,function,/[locale]/tours,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,,,,,"⚠️ Missing recommended environment variables: PAYPAL_WEBHOOK_ID, PAYPAL_CLIENT_ID, PAYPAL_CLIENT_SECRET. Some features (payments, emails, webhooks) may not work correctly.",prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,,,
2026-03-09 12:29:02,1773059342860,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/tours,GET,_rsc=8rrgv&nxtPlocale=en,200,7krnp-1773059342860-74bfa1a07d93,vercel-screenshot/1.0,,production,main,MISS,function,/[locale]/tours.rsc,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,603,iad1,291,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9950J6EXT7EEXV3WPPSJB6,bbmBL5bXi2B7,1
2026-03-09 12:29:02,1773059342860,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/tours,GET,_rsc=8rrgv&nxtPlocale=en,200,7krnp-1773059342860-74bfa1a07d93,vercel-screenshot/1.0,,production,main,MISS,middleware,src/middleware,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,12,sfo1,260,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9950GGGYHNP3AWXND7MEAX,MWFzA72f0xa9,1
2026-03-09 12:29:02,1773059342824,"like-in-house-web-rzck.vercel.app/api/trpc/public.toursByDestination,public.featuredTours,public.settings",GET,batch=1&input=%7B%220%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%2C%221%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%2C%222%22%3A%7B%22json%22%3Anull%2C%22meta%22%3A%7B%22values%22%3A%5B%22undefined%22%5D%2C%22v%22%3A1%7D%7D%7D&nxtPtrpc=public.toursByDestination%2Cpublic.featuredTours%2Cpublic.settings,200,6cs76-1773059342824-71d5479fd1e8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/trpc/[trpc],like-in-house-web-rzck.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,77,iad1,343,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9950H7W7SPM894WEQFPTNX,lXVU2U21OFEE,1
2026-03-09 12:29:02,1773059342801,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/grid.svg,GET,nxtPlocale=grid.svg,,j4jmf-1773059342168-60547c3470b7,vercel-screenshot/1.0,info,production,main,,function,,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,,,,,"⚠️ Missing recommended environment variables: PAYPAL_WEBHOOK_ID, PAYPAL_CLIENT_ID, PAYPAL_CLIENT_SECRET. Some features (payments, emails, webhooks) may not work correctly.",prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,,,
2026-03-09 12:29:02,1773059342168,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/grid.svg,GET,nxtPlocale=grid.svg,,j4jmf-1773059342168-60547c3470b7,vercel-screenshot/1.0,,production,main,,function,/[locale],like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,961,iad1,306,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK994ZVX86BG9TBAD87JFYJA,e34bx6hTLx5X,1
